,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.211,0.296,19.000
1,"(22, 27]",1.075,0.489,25.000
2,"(27, 32]",0.987,0.549,30.000
3,"(32, 37]",2.843,1.656,35.000
4,"(37, 42]",1.212,0.945,40.000
5,"(42, 47]",3.297,2.046,45.000
6,"(47, 52]",1.281,1.061,50.000
7,"(52, 57]",0.867,0.704,55.000
8,"(57, 62]",0.933,0.516,60.000
9,"(62, 67]",0.980,0.583,65.000
10,"(67, 72]",1.411,0.844,70.000
11,"(72, 77]",0.554,0.295,75.000
12,"(77, 82]",0.681,0.324,80.000
13,"(82, 87]",0.581,0.510,85.000
14,"(87, 92]",0.889,0.989,90.000
