,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.114,0.571,3.000
1,"(5, 10]",1.125,0.256,8.000
2,"(10, 15]",1.120,0.150,13.000
3,"(15, 20]",1.088,0.082,18.000
4,"(20, 25]",1.103,0.092,23.000
5,"(25, 30]",1.066,0.115,28.000
6,"(30, 35]",1.013,0.135,33.000
7,"(35, 40]",0.920,0.135,38.000
8,"(40, 45]",1.216,0.178,43.000
9,"(45, 50]",1.234,0.192,48.000
10,"(50, 55]",1.344,0.207,53.000
11,"(55, 60]",1.061,0.174,58.000
12,"(60, 65]",1.016,0.170,63.000
13,"(65, 70]",1.370,0.234,68.000
14,"(70, 75]",0.912,0.148,73.000
15,"(75, 80]",1.133,0.169,78.000
16,"(80, 85]",1.065,0.157,83.000
17,"(85, 90]",1.009,0.187,88.000
18,"(90, 95]",1.398,0.483,93.000
19,"(95, 100]",3.125,3.377,98.000
