,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.193,0.141,19.000
1,"(22, 27]",0.922,0.146,25.000
2,"(27, 32]",1.072,0.210,30.000
3,"(32, 37]",1.049,0.243,35.000
4,"(37, 42]",1.258,0.313,40.000
5,"(42, 47]",1.227,0.315,45.000
6,"(47, 52]",0.891,0.211,50.000
7,"(52, 57]",0.919,0.202,55.000
8,"(57, 62]",0.768,0.187,60.000
9,"(62, 67]",0.564,0.126,65.000
10,"(67, 72]",0.647,0.149,70.000
11,"(72, 77]",0.615,0.156,75.000
12,"(77, 82]",0.728,0.199,80.000
13,"(82, 87]",0.975,0.271,85.000
14,"(87, 92]",0.819,0.306,90.000
15,"(92, 97]",0.333,0.409,95.000
