,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.269,0.088,19.000
1,"(22, 27]",1.127,0.109,25.000
2,"(27, 32]",1.091,0.132,30.000
3,"(32, 37]",1.152,0.163,35.000
4,"(37, 42]",1.262,0.184,40.000
5,"(42, 47]",1.153,0.161,45.000
6,"(47, 52]",0.909,0.126,50.000
7,"(52, 57]",0.907,0.122,55.000
8,"(57, 62]",0.858,0.118,60.000
9,"(62, 67]",0.678,0.090,65.000
10,"(67, 72]",0.769,0.102,70.000
11,"(72, 77]",0.665,0.088,75.000
12,"(77, 82]",0.799,0.115,80.000
13,"(82, 87]",0.971,0.165,85.000
14,"(87, 92]",0.868,0.219,90.000
15,"(92, 97]",0.967,0.644,95.000
