,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.480,0.357,19.000
1,"(22, 27]",1.082,0.401,25.000
2,"(27, 32]",1.676,0.706,30.000
3,"(32, 37]",2.351,1.351,35.000
4,"(37, 42]",3.600,2.987,40.000
5,"(42, 47]",0.624,0.361,45.000
6,"(47, 52]",0.713,0.367,50.000
7,"(52, 57]",1.357,0.704,55.000
8,"(57, 62]",0.575,0.287,60.000
9,"(62, 67]",0.982,0.453,65.000
10,"(67, 72]",0.260,0.164,70.000
11,"(72, 77]",0.528,0.317,75.000
12,"(77, 82]",0.858,0.381,80.000
13,"(82, 87]",0.604,0.308,85.000
14,"(87, 92]",0.882,0.895,90.000
15,"(92, 97]",0.800,1.253,95.000
