,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.192,0.151,3.000
1,"(5, 10]",1.229,0.137,8.000
2,"(10, 15]",1.149,0.091,13.000
3,"(15, 20]",1.306,0.072,18.000
4,"(20, 25]",1.299,0.078,23.000
5,"(25, 30]",1.307,0.098,28.000
6,"(30, 35]",1.133,0.098,33.000
7,"(35, 40]",1.280,0.118,38.000
8,"(40, 45]",1.378,0.134,43.000
9,"(45, 50]",1.062,0.110,48.000
10,"(50, 55]",1.226,0.132,53.000
11,"(55, 60]",1.492,0.169,58.000
12,"(60, 65]",1.075,0.118,63.000
13,"(65, 70]",1.131,0.119,68.000
14,"(70, 75]",0.964,0.092,73.000
15,"(75, 80]",0.870,0.083,78.000
16,"(80, 85]",0.963,0.101,83.000
17,"(85, 90]",1.028,0.141,88.000
18,"(90, 95]",0.884,0.235,93.000
19,"(95, 100]",2.240,1.651,98.000
