,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.200,0.159,19.000
1,"(22, 27]",1.204,0.261,25.000
2,"(27, 32]",1.660,0.391,30.000
3,"(32, 37]",1.104,0.315,35.000
4,"(37, 42]",1.791,0.634,40.000
5,"(42, 47]",0.872,0.328,45.000
6,"(47, 52]",1.009,0.489,50.000
7,"(52, 57]",1.079,0.556,55.000
8,"(57, 62]",1.506,0.797,60.000
9,"(62, 67]",0.467,0.269,65.000
10,"(67, 72]",1.318,0.724,70.000
11,"(72, 77]",1.232,0.694,75.000
12,"(77, 82]",1.371,0.964,80.000
13,"(82, 87]",0.947,0.835,85.000
14,"(87, 92]",1.333,2.020,90.000
