,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.248,0.537,3.000
1,"(5, 10]",0.851,0.406,8.000
2,"(10, 15]",0.870,0.229,13.000
3,"(15, 20]",1.092,0.135,18.000
4,"(20, 25]",1.238,0.186,23.000
5,"(25, 30]",1.197,0.224,28.000
6,"(30, 35]",1.197,0.267,33.000
7,"(35, 40]",1.213,0.309,38.000
8,"(40, 45]",0.947,0.283,43.000
9,"(45, 50]",0.883,0.310,48.000
10,"(50, 55]",0.887,0.379,53.000
11,"(55, 60]",2.151,0.986,58.000
12,"(60, 65]",1.956,1.092,63.000
13,"(65, 70]",1.871,0.954,68.000
14,"(70, 75]",0.726,0.315,73.000
15,"(75, 80]",0.641,0.269,78.000
16,"(80, 85]",0.955,0.636,83.000
17,"(85, 90]",0.469,0.440,88.000
18,"(90, 95]",10.000,16.439,93.000
