,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.137,0.132,19.000
1,"(22, 27]",0.979,0.150,25.000
2,"(27, 32]",1.037,0.217,30.000
3,"(32, 37]",1.107,0.290,35.000
4,"(37, 42]",1.242,0.400,40.000
5,"(42, 47]",0.599,0.221,45.000
6,"(47, 52]",1.123,0.469,50.000
7,"(52, 57]",0.754,0.370,55.000
8,"(57, 62]",0.778,0.514,60.000
9,"(62, 67]",0.810,0.496,65.000
10,"(67, 72]",1.103,0.579,70.000
11,"(72, 77]",1.333,0.786,75.000
12,"(77, 82]",0.989,0.536,80.000
13,"(82, 87]",1.072,0.935,85.000
14,"(87, 92]",1.833,2.756,90.000
