,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.989,0.115,3.000
1,"(5, 10]",0.987,0.133,8.000
2,"(10, 15]",1.045,0.074,13.000
3,"(15, 20]",1.339,0.056,18.000
4,"(20, 25]",1.301,0.056,23.000
5,"(25, 30]",1.333,0.072,28.000
6,"(30, 35]",1.355,0.087,33.000
7,"(35, 40]",1.277,0.097,38.000
8,"(40, 45]",1.150,0.104,43.000
9,"(45, 50]",1.310,0.136,48.000
10,"(50, 55]",1.346,0.158,53.000
11,"(55, 60]",1.525,0.218,58.000
12,"(60, 65]",0.946,0.134,63.000
13,"(65, 70]",1.099,0.179,68.000
14,"(70, 75]",1.101,0.177,73.000
15,"(75, 80]",0.881,0.165,78.000
16,"(80, 85]",0.931,0.206,83.000
17,"(85, 90]",0.970,0.303,88.000
18,"(90, 95]",1.217,0.612,93.000
