,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.296,0.110,19.000
1,"(22, 27]",1.269,0.161,25.000
2,"(27, 32]",1.299,0.204,30.000
3,"(32, 37]",1.204,0.213,35.000
4,"(37, 42]",0.886,0.158,40.000
5,"(42, 47]",1.143,0.214,45.000
6,"(47, 52]",1.308,0.248,50.000
7,"(52, 57]",0.886,0.171,55.000
8,"(57, 62]",0.876,0.174,60.000
9,"(62, 67]",0.785,0.159,65.000
10,"(67, 72]",0.690,0.138,70.000
11,"(72, 77]",0.591,0.130,75.000
12,"(77, 82]",0.698,0.171,80.000
13,"(82, 87]",0.720,0.242,85.000
14,"(87, 92]",1.929,1.231,90.000
