,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.306,0.045,19.000
1,"(22, 27]",1.222,0.048,25.000
2,"(27, 32]",1.282,0.059,30.000
3,"(32, 37]",1.273,0.066,35.000
4,"(37, 42]",1.237,0.072,40.000
5,"(42, 47]",1.078,0.070,45.000
6,"(47, 52]",0.964,0.068,50.000
7,"(52, 57]",0.950,0.069,55.000
8,"(57, 62]",0.954,0.070,60.000
9,"(62, 67]",0.812,0.061,65.000
10,"(67, 72]",0.895,0.069,70.000
11,"(72, 77]",0.847,0.070,75.000
12,"(77, 82]",0.895,0.084,80.000
13,"(82, 87]",1.040,0.140,85.000
14,"(87, 92]",0.774,0.214,90.000
15,"(92, 97]",1.167,0.959,95.000
