,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.021,0.328,3.000
1,"(5, 10]",0.793,0.264,8.000
2,"(10, 15]",1.066,0.304,13.000
3,"(15, 20]",1.331,0.300,18.000
4,"(20, 25]",0.976,0.371,23.000
5,"(25, 30]",0.983,0.482,28.000
6,"(30, 35]",1.431,0.934,33.000
7,"(35, 40]",1.212,0.784,38.000
8,"(40, 45]",1.458,1.100,43.000
9,"(45, 50]",1.067,0.960,48.000
10,"(50, 55]",0.933,0.822,53.000
11,"(55, 60]",1.250,1.866,58.000
12,"(60, 65]",2.779,3.001,63.000
13,"(65, 70]",0.654,0.475,68.000
14,"(70, 75]",0.750,1.039,73.000
15,"(75, 80]",0.267,0.356,78.000
