,Vehicle,Subject Occupant,Female Fatalities,Male Fatalities,Total
0,Car,Unbelted drivers,14969,48222,63191
1,Car,Unbelted right front passengers,34856,37830,72686
2,Car,Belted drivers,4710,8915,13625
3,Car,Belted right front passengers,12012,6254,18266
4,Car,Unbelted left rear passengers,3937,5471,9408
5,Car,Unbelted right rear passengers,4441,6254,10695
0,Light truck,Unbelted drivers,2423,17804,20227
1,Light truck,Unbelted right front passengers,7771,13767,21538
2,Light truck,Belted drivers,548,2086,2634
3,Light truck,Belted right front passengers,1818,1322,3140
4,Light truck,Unbelted left rear passengers,366,555,921
5,Light truck,Unbelted right rear passengers,389,570,959
0,Motorcycle,Helmeted Motorcycle Passenger,1583,1013,2596
1,Motorcycle,Unhelmeted Motorcycle Passenger,2250,1675,3925
