,Subject Age,R,DeltaR,Age
0,"(10, 15]",1.115,0.720,13.000
1,"(15, 20]",1.544,0.503,18.000
2,"(20, 25]",1.468,0.565,23.000
3,"(25, 30]",0.570,0.342,28.000
4,"(30, 35]",0.150,0.200,33.000
5,"(35, 40]",2.835,2.835,38.000
6,"(40, 45]",1.667,1.696,43.000
7,"(45, 50]",0.199,0.185,48.000
8,"(50, 55]",0.722,0.603,53.000
9,"(55, 60]",0.444,0.355,58.000
10,"(65, 70]",1.857,2.769,68.000
11,"(70, 75]",0.360,0.294,73.000
12,"(75, 80]",0.888,0.551,78.000
13,"(80, 85]",0.900,0.760,83.000
14,"(85, 90]",0.444,0.616,88.000
15,"(90, 95]",0.583,0.785,93.000
