,Subject Age,R,DeltaR,Age
0,"(15, 22]",0.606,0.191,19.000
1,"(22, 27]",0.616,0.308,25.000
2,"(27, 32]",1.112,0.891,30.000
3,"(32, 37]",2.226,1.788,35.000
4,"(37, 42]",0.371,0.398,40.000
5,"(42, 47]",2.000,2.010,45.000
6,"(47, 52]",1.000,2.001,50.000
7,"(57, 62]",1.683,1.251,60.000
8,"(62, 67]",0.610,0.417,65.000
9,"(67, 72]",0.788,0.459,70.000
10,"(72, 77]",0.371,0.210,75.000
11,"(77, 82]",0.648,0.440,80.000
12,"(82, 87]",0.235,0.212,85.000
13,"(87, 92]",0.556,0.609,90.000
14,"(92, 97]",1.000,1.733,95.000
