,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.048,0.158,3.000
1,"(5, 10]",1.015,0.169,8.000
2,"(10, 15]",1.261,0.125,13.000
3,"(15, 20]",1.261,0.068,18.000
4,"(20, 25]",1.191,0.064,23.000
5,"(25, 30]",1.187,0.080,28.000
6,"(30, 35]",1.338,0.108,33.000
7,"(35, 40]",1.058,0.101,38.000
8,"(40, 45]",1.039,0.116,43.000
9,"(45, 50]",1.301,0.172,48.000
10,"(50, 55]",1.417,0.204,53.000
11,"(55, 60]",1.047,0.176,58.000
12,"(60, 65]",0.949,0.162,63.000
13,"(65, 70]",0.939,0.168,68.000
14,"(70, 75]",0.989,0.173,73.000
15,"(75, 80]",0.648,0.121,78.000
16,"(80, 85]",1.081,0.207,83.000
17,"(85, 90]",0.789,0.213,88.000
18,"(90, 95]",1.360,0.614,93.000
19,"(95, 100]",1.869,2.020,98.000
