,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.983,0.070,3.000
1,"(5, 10]",1.023,0.079,8.000
2,"(10, 15]",1.097,0.055,13.000
3,"(15, 20]",1.275,0.045,18.000
4,"(20, 25]",1.261,0.044,23.000
5,"(25, 30]",1.255,0.051,28.000
6,"(30, 35]",1.281,0.059,33.000
7,"(35, 40]",1.189,0.063,38.000
8,"(40, 45]",1.127,0.066,43.000
9,"(45, 50]",1.238,0.080,48.000
10,"(50, 55]",1.212,0.083,53.000
11,"(55, 60]",1.216,0.093,58.000
12,"(60, 65]",0.997,0.076,63.000
13,"(65, 70]",0.942,0.076,68.000
14,"(70, 75]",1.069,0.086,73.000
15,"(75, 80]",0.916,0.082,78.000
16,"(80, 85]",0.952,0.097,83.000
17,"(85, 90]",0.961,0.138,88.000
18,"(90, 95]",1.454,0.350,93.000
19,"(95, 100]",0.800,0.567,98.000
