,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.156,0.105,19.000
1,"(22, 27]",1.188,0.143,25.000
2,"(27, 32]",1.126,0.147,30.000
3,"(32, 37]",1.105,0.135,35.000
4,"(37, 42]",1.088,0.136,40.000
5,"(42, 47]",1.032,0.120,45.000
6,"(47, 52]",1.101,0.134,50.000
7,"(52, 57]",1.006,0.115,55.000
8,"(57, 62]",0.747,0.092,60.000
9,"(62, 67]",0.776,0.101,65.000
10,"(67, 72]",0.833,0.123,70.000
11,"(72, 77]",0.549,0.092,75.000
12,"(77, 82]",0.772,0.147,80.000
13,"(82, 87]",0.664,0.182,85.000
14,"(87, 92]",0.733,0.422,90.000
