,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.340,0.043,19.000
1,"(22, 27]",1.236,0.050,25.000
2,"(27, 32]",1.290,0.062,30.000
3,"(32, 37]",1.260,0.071,35.000
4,"(37, 42]",1.197,0.077,40.000
5,"(42, 47]",1.126,0.081,45.000
6,"(47, 52]",0.983,0.077,50.000
7,"(52, 57]",0.949,0.075,55.000
8,"(57, 62]",0.917,0.071,60.000
9,"(62, 67]",0.799,0.063,65.000
10,"(67, 72]",0.912,0.072,70.000
11,"(72, 77]",0.842,0.072,75.000
12,"(77, 82]",0.878,0.087,80.000
13,"(82, 87]",1.034,0.157,85.000
14,"(87, 92]",0.787,0.253,90.000
15,"(92, 97]",1.167,1.774,95.000
