,Subject Age,R,DeltaR,Age
0,"(10, 15]",2.000,3.743,13.000
1,"(15, 20]",1.398,0.771,18.000
2,"(20, 25]",0.774,0.380,23.000
3,"(25, 30]",3.283,2.801,28.000
4,"(30, 35]",0.500,0.467,33.000
5,"(40, 45]",2.000,3.318,43.000
6,"(45, 50]",1.333,1.442,48.000
7,"(55, 60]",0.526,0.548,58.000
8,"(60, 65]",0.278,0.374,63.000
9,"(65, 70]",2.000,3.743,68.000
10,"(70, 75]",0.333,0.472,73.000
11,"(75, 80]",0.250,0.254,78.000
12,"(80, 85]",1.125,0.967,83.000
13,"(85, 90]",0.200,0.297,88.000
14,"(90, 95]",0.750,1.206,93.000
