,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.258,0.066,19.000
1,"(22, 27]",1.148,0.082,25.000
2,"(27, 32]",1.236,0.110,30.000
3,"(32, 37]",1.353,0.135,35.000
4,"(37, 42]",1.136,0.112,40.000
5,"(42, 47]",1.299,0.127,45.000
6,"(47, 52]",1.000,0.097,50.000
7,"(52, 57]",0.982,0.095,55.000
8,"(57, 62]",0.748,0.070,60.000
9,"(62, 67]",0.721,0.066,65.000
10,"(67, 72]",0.794,0.068,70.000
11,"(72, 77]",0.774,0.063,75.000
12,"(77, 82]",0.790,0.068,80.000
13,"(82, 87]",0.937,0.102,85.000
14,"(87, 92]",0.713,0.127,90.000
15,"(92, 97]",1.434,0.704,95.000
