,Vehicle,Subject Occupant,Female Fatalities,Male Fatalities,Total
0,Car,Unbelted drivers,212,578,790
1,Car,Unbelted right front passengers,414,471,885
2,Car,Belted drivers,811,1629,2440
3,Car,Belted right front passengers,1730,1125,2855
4,Car,Unbelted left rear passengers,16,17,33
5,Car,Unbelted right rear passengers,15,26,41
0,Light truck,Unbelted drivers,94,234,328
1,Light truck,Unbelted right front passengers,192,217,409
2,Light truck,Belted drivers,321,849,1170
3,Light truck,Belted right front passengers,816,463,1279
4,Light truck,Unbelted left rear passengers,1,3,4
5,Light truck,Unbelted right rear passengers,2,1,3
