,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.140,0.292,3.000
1,"(5, 10]",0.724,0.182,8.000
2,"(10, 15]",1.160,0.144,13.000
3,"(15, 20]",1.223,0.068,18.000
4,"(20, 25]",1.271,0.078,23.000
5,"(25, 30]",1.161,0.094,28.000
6,"(30, 35]",1.061,0.105,33.000
7,"(35, 40]",1.312,0.153,38.000
8,"(40, 45]",1.182,0.149,43.000
9,"(45, 50]",1.281,0.181,48.000
10,"(50, 55]",1.058,0.171,53.000
11,"(55, 60]",1.122,0.259,58.000
12,"(60, 65]",0.918,0.239,63.000
13,"(65, 70]",1.041,0.309,68.000
14,"(70, 75]",1.208,0.340,73.000
15,"(75, 80]",0.977,0.308,78.000
16,"(80, 85]",1.116,0.341,83.000
17,"(85, 90]",1.057,0.379,88.000
18,"(90, 95]",1.258,0.678,93.000
