,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.154,0.850,3.000
1,"(5, 10]",1.296,0.793,8.000
2,"(10, 15]",1.414,0.574,13.000
3,"(15, 20]",1.153,0.132,18.000
4,"(20, 25]",1.260,0.135,23.000
5,"(25, 30]",1.167,0.164,28.000
6,"(30, 35]",1.133,0.202,33.000
7,"(35, 40]",1.631,0.392,38.000
8,"(40, 45]",1.096,0.297,43.000
9,"(45, 50]",1.619,0.489,48.000
10,"(50, 55]",1.054,0.314,53.000
11,"(55, 60]",1.267,0.637,58.000
12,"(60, 65]",0.734,0.660,63.000
13,"(65, 70]",1.368,0.843,68.000
14,"(70, 75]",0.537,0.417,73.000
15,"(75, 80]",0.632,0.562,78.000
16,"(80, 85]",2.326,2.416,83.000
17,"(85, 90]",1.875,1.647,88.000
18,"(90, 95]",4.000,6.003,93.000
