,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.371,0.076,19.000
1,"(22, 27]",1.450,0.101,25.000
2,"(27, 32]",1.258,0.099,30.000
3,"(32, 37]",1.281,0.105,35.000
4,"(37, 42]",1.202,0.115,40.000
5,"(42, 47]",0.997,0.104,45.000
6,"(47, 52]",1.046,0.126,50.000
7,"(52, 57]",1.192,0.160,55.000
8,"(57, 62]",0.855,0.136,60.000
9,"(62, 67]",0.958,0.178,65.000
10,"(67, 72]",0.982,0.218,70.000
11,"(72, 77]",0.698,0.183,75.000
12,"(77, 82]",0.863,0.285,80.000
13,"(82, 87]",0.836,0.519,85.000
14,"(87, 92]",1.000,1.038,90.000
