,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.126,0.264,3.000
1,"(5, 10]",1.020,0.188,8.000
2,"(10, 15]",1.081,0.171,13.000
3,"(15, 20]",1.185,0.143,18.000
4,"(20, 25]",1.162,0.200,23.000
5,"(25, 30]",1.104,0.235,28.000
6,"(30, 35]",1.276,0.312,33.000
7,"(35, 40]",1.008,0.315,38.000
8,"(40, 45]",0.769,0.244,43.000
9,"(45, 50]",1.446,0.520,48.000
10,"(50, 55]",1.249,0.540,53.000
11,"(55, 60]",1.068,0.571,58.000
12,"(60, 65]",1.846,1.115,63.000
13,"(65, 70]",1.071,1.166,68.000
14,"(70, 75]",0.543,0.468,73.000
15,"(75, 80]",0.316,0.308,78.000
16,"(80, 85]",2.500,4.110,83.000
