,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.730,0.295,3.000
1,"(5, 10]",0.670,0.290,8.000
2,"(10, 15]",1.342,0.348,13.000
3,"(15, 20]",1.418,0.186,18.000
4,"(20, 25]",1.237,0.192,23.000
5,"(25, 30]",1.329,0.254,28.000
6,"(30, 35]",1.138,0.252,33.000
7,"(35, 40]",1.465,0.429,38.000
8,"(40, 45]",1.431,0.454,43.000
9,"(45, 50]",1.156,0.434,48.000
10,"(50, 55]",1.430,0.569,53.000
11,"(55, 60]",0.784,0.350,58.000
12,"(60, 65]",1.153,0.577,63.000
13,"(65, 70]",0.872,0.435,68.000
14,"(70, 75]",0.789,0.378,73.000
15,"(75, 80]",0.835,0.396,78.000
16,"(80, 85]",0.807,0.448,83.000
17,"(85, 90]",0.926,0.712,88.000
18,"(90, 95]",3.500,5.693,93.000
