,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.014,0.229,3.000
1,"(5, 10]",1.192,0.238,8.000
2,"(10, 15]",1.161,0.198,13.000
3,"(15, 20]",1.309,0.152,18.000
4,"(20, 25]",1.486,0.224,23.000
5,"(25, 30]",1.513,0.316,28.000
6,"(30, 35]",1.268,0.323,33.000
7,"(35, 40]",1.374,0.383,38.000
8,"(40, 45]",0.925,0.308,43.000
9,"(45, 50]",1.341,0.411,48.000
10,"(50, 55]",1.220,0.509,53.000
11,"(55, 60]",1.760,0.920,58.000
12,"(60, 65]",1.151,0.621,63.000
13,"(65, 70]",2.383,1.316,68.000
14,"(70, 75]",2.000,1.782,73.000
15,"(80, 85]",1.333,1.679,83.000
16,"(85, 90]",1.333,2.144,88.000
