,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.616,0.249,3.000
1,"(5, 10]",0.895,0.362,8.000
2,"(10, 15]",1.240,0.302,13.000
3,"(15, 20]",1.143,0.173,18.000
4,"(20, 25]",1.338,0.293,23.000
5,"(25, 30]",1.149,0.374,28.000
6,"(30, 35]",0.750,0.318,33.000
7,"(35, 40]",2.805,1.597,38.000
8,"(40, 45]",1.142,0.736,43.000
9,"(45, 50]",1.551,1.301,48.000
10,"(50, 55]",0.439,0.324,53.000
11,"(55, 60]",0.167,0.297,58.000
12,"(60, 65]",1.000,1.415,63.000
13,"(65, 70]",1.333,2.038,68.000
14,"(80, 85]",2.000,3.743,83.000
15,"(85, 90]",1.000,1.733,88.000
