,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.644,0.226,3.000
1,"(5, 10]",0.846,0.278,8.000
2,"(10, 15]",1.132,0.244,13.000
3,"(15, 20]",1.069,0.146,18.000
4,"(20, 25]",1.187,0.236,23.000
5,"(25, 30]",0.984,0.278,28.000
6,"(30, 35]",0.868,0.306,33.000
7,"(35, 40]",1.558,0.707,38.000
8,"(40, 45]",0.964,0.417,43.000
9,"(45, 50]",1.341,0.850,48.000
10,"(50, 55]",0.686,0.442,53.000
11,"(55, 60]",0.347,0.368,58.000
12,"(60, 65]",1.276,1.261,63.000
13,"(65, 70]",4.000,5.541,68.000
14,"(70, 75]",1.000,1.733,73.000
15,"(80, 85]",1.000,1.733,83.000
16,"(85, 90]",1.333,2.144,88.000
