,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.798,0.210,3.000
1,"(5, 10]",0.925,0.272,8.000
2,"(10, 15]",1.106,0.223,13.000
3,"(15, 20]",1.039,0.107,18.000
4,"(20, 25]",1.246,0.141,23.000
5,"(25, 30]",1.163,0.173,28.000
6,"(30, 35]",1.336,0.228,33.000
7,"(35, 40]",0.961,0.184,38.000
8,"(40, 45]",1.321,0.278,43.000
9,"(45, 50]",1.177,0.267,48.000
10,"(50, 55]",0.963,0.232,53.000
11,"(55, 60]",0.981,0.268,58.000
12,"(60, 65]",1.068,0.256,63.000
13,"(65, 70]",1.081,0.286,68.000
14,"(70, 75]",1.089,0.275,73.000
15,"(75, 80]",0.917,0.282,78.000
16,"(80, 85]",0.987,0.311,83.000
17,"(85, 90]",0.657,0.403,88.000
18,"(90, 95]",1.790,1.716,93.000
