,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.098,0.155,3.000
1,"(5, 10]",1.165,0.138,8.000
2,"(10, 15]",1.152,0.093,13.000
3,"(15, 20]",1.180,0.066,18.000
4,"(20, 25]",1.131,0.071,23.000
5,"(25, 30]",1.209,0.096,28.000
6,"(30, 35]",1.088,0.099,33.000
7,"(35, 40]",1.214,0.118,38.000
8,"(40, 45]",1.229,0.123,43.000
9,"(45, 50]",1.122,0.117,48.000
10,"(50, 55]",1.219,0.130,53.000
11,"(55, 60]",1.344,0.154,58.000
12,"(60, 65]",1.043,0.116,63.000
13,"(65, 70]",1.230,0.129,68.000
14,"(70, 75]",1.018,0.103,73.000
15,"(75, 80]",0.897,0.091,78.000
16,"(80, 85]",1.017,0.108,83.000
17,"(85, 90]",1.206,0.179,88.000
18,"(90, 95]",1.040,0.282,93.000
19,"(95, 100]",2.153,1.499,98.000
