,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.297,0.176,3.000
1,"(5, 10]",1.281,0.149,8.000
2,"(10, 15]",1.125,0.092,13.000
3,"(15, 20]",1.214,0.066,18.000
4,"(20, 25]",1.275,0.075,23.000
5,"(25, 30]",1.180,0.086,28.000
6,"(30, 35]",0.960,0.083,33.000
7,"(35, 40]",1.130,0.106,38.000
8,"(40, 45]",1.329,0.129,43.000
9,"(45, 50]",1.143,0.118,48.000
10,"(50, 55]",1.185,0.125,53.000
11,"(55, 60]",1.223,0.134,58.000
12,"(60, 65]",1.095,0.115,63.000
13,"(65, 70]",1.183,0.120,68.000
14,"(70, 75]",0.956,0.089,73.000
15,"(75, 80]",0.907,0.083,78.000
16,"(80, 85]",0.956,0.097,83.000
17,"(85, 90]",1.040,0.135,88.000
18,"(90, 95]",1.183,0.277,93.000
19,"(95, 100]",2.625,2.161,98.000
