,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.422,0.318,3.000
1,"(5, 10]",1.167,0.673,8.000
2,"(10, 15]",1.057,0.348,13.000
3,"(15, 20]",1.539,0.246,18.000
4,"(20, 25]",1.017,0.160,23.000
5,"(25, 30]",1.382,0.245,28.000
6,"(30, 35]",1.258,0.263,33.000
7,"(35, 40]",1.446,0.345,38.000
8,"(40, 45]",0.758,0.188,43.000
9,"(45, 50]",0.843,0.243,48.000
10,"(50, 55]",1.035,0.380,53.000
11,"(55, 60]",1.109,0.400,58.000
12,"(60, 65]",1.401,0.679,63.000
13,"(65, 70]",0.777,0.497,68.000
14,"(70, 75]",0.785,0.592,73.000
15,"(75, 80]",0.824,0.612,78.000
16,"(80, 85]",0.439,0.400,83.000
17,"(85, 90]",2.500,4.110,88.000
