,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.290,0.128,19.000
1,"(22, 27]",1.076,0.147,25.000
2,"(27, 32]",1.239,0.203,30.000
3,"(32, 37]",1.202,0.245,35.000
4,"(37, 42]",1.359,0.290,40.000
5,"(42, 47]",1.163,0.247,45.000
6,"(47, 52]",0.965,0.196,50.000
7,"(52, 57]",1.132,0.212,55.000
8,"(57, 62]",0.920,0.180,60.000
9,"(62, 67]",0.662,0.121,65.000
10,"(67, 72]",0.875,0.169,70.000
11,"(72, 77]",0.740,0.152,75.000
12,"(77, 82]",0.855,0.188,80.000
13,"(82, 87]",0.913,0.215,85.000
14,"(87, 92]",0.949,0.313,90.000
15,"(92, 97]",1.035,0.773,95.000
