,Subject Age,R,DeltaR,Age
0,"(5, 10]",0.850,0.481,8.000
1,"(10, 15]",1.801,0.537,13.000
2,"(15, 20]",1.317,0.202,18.000
3,"(20, 25]",1.174,0.193,23.000
4,"(25, 30]",1.207,0.270,28.000
5,"(30, 35]",0.805,0.218,33.000
6,"(35, 40]",1.054,0.336,38.000
7,"(40, 45]",1.569,0.461,43.000
8,"(45, 50]",0.909,0.330,48.000
9,"(50, 55]",0.954,0.310,53.000
10,"(55, 60]",0.972,0.309,58.000
11,"(60, 65]",1.327,0.485,63.000
12,"(65, 70]",1.379,0.516,68.000
13,"(70, 75]",0.515,0.191,73.000
14,"(75, 80]",0.754,0.275,78.000
15,"(80, 85]",0.865,0.257,83.000
16,"(85, 90]",1.116,0.457,88.000
17,"(90, 95]",1.172,0.806,93.000
