,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.108,0.224,19.000
1,"(22, 27]",0.867,0.220,25.000
2,"(27, 32]",1.349,0.399,30.000
3,"(32, 37]",0.885,0.263,35.000
4,"(37, 42]",0.809,0.240,40.000
5,"(42, 47]",0.926,0.294,45.000
6,"(47, 52]",1.135,0.336,50.000
7,"(52, 57]",1.016,0.257,55.000
8,"(57, 62]",0.633,0.165,60.000
9,"(62, 67]",0.766,0.193,65.000
10,"(67, 72]",1.048,0.293,70.000
11,"(72, 77]",0.681,0.207,75.000
12,"(77, 82]",0.727,0.223,80.000
13,"(82, 87]",0.435,0.197,85.000
14,"(87, 92]",0.692,0.685,90.000
