,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.207,0.068,19.000
1,"(22, 27]",1.251,0.096,25.000
2,"(27, 32]",1.239,0.121,30.000
3,"(32, 37]",1.319,0.142,35.000
4,"(37, 42]",1.290,0.155,40.000
5,"(42, 47]",0.907,0.120,45.000
6,"(47, 52]",0.894,0.135,50.000
7,"(52, 57]",0.981,0.163,55.000
8,"(57, 62]",0.984,0.195,60.000
9,"(62, 67]",0.842,0.185,65.000
10,"(67, 72]",0.649,0.152,70.000
11,"(72, 77]",0.919,0.204,75.000
12,"(77, 82]",1.167,0.282,80.000
13,"(82, 87]",1.083,0.326,85.000
14,"(87, 92]",0.826,0.490,90.000
15,"(92, 97]",3.000,3.820,95.000
