,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.158,0.165,19.000
1,"(22, 27]",0.970,0.184,25.000
2,"(27, 32]",1.164,0.276,30.000
3,"(32, 37]",1.312,0.365,35.000
4,"(37, 42]",1.357,0.407,40.000
5,"(42, 47]",1.413,0.431,45.000
6,"(47, 52]",0.798,0.235,50.000
7,"(52, 57]",1.246,0.335,55.000
8,"(57, 62]",0.917,0.288,60.000
9,"(62, 67]",0.653,0.171,65.000
10,"(67, 72]",0.702,0.194,70.000
11,"(72, 77]",0.666,0.209,75.000
12,"(77, 82]",0.786,0.278,80.000
13,"(82, 87]",1.113,0.386,85.000
14,"(87, 92]",0.940,0.424,90.000
15,"(92, 97]",0.375,0.470,95.000
