,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.173,0.149,19.000
1,"(22, 27]",1.268,0.254,25.000
2,"(27, 32]",1.428,0.401,30.000
3,"(32, 37]",1.086,0.329,35.000
4,"(37, 42]",1.204,0.363,40.000
5,"(42, 47]",1.217,0.373,45.000
6,"(47, 52]",1.032,0.291,50.000
7,"(52, 57]",0.846,0.226,55.000
8,"(57, 62]",0.552,0.163,60.000
9,"(62, 67]",0.457,0.135,65.000
10,"(67, 72]",0.607,0.176,70.000
11,"(72, 77]",0.595,0.159,75.000
12,"(77, 82]",0.572,0.137,80.000
13,"(82, 87]",0.794,0.288,85.000
14,"(87, 92]",0.429,0.249,90.000
