,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.357,0.056,19.000
1,"(22, 27]",1.332,0.070,25.000
2,"(27, 32]",1.194,0.078,30.000
3,"(32, 37]",1.212,0.092,35.000
4,"(37, 42]",1.277,0.113,40.000
5,"(42, 47]",1.211,0.126,45.000
6,"(47, 52]",0.914,0.110,50.000
7,"(52, 57]",0.975,0.130,55.000
8,"(57, 62]",0.901,0.131,60.000
9,"(62, 67]",0.853,0.127,65.000
10,"(67, 72]",0.823,0.132,70.000
11,"(72, 77]",0.860,0.150,75.000
12,"(77, 82]",0.718,0.152,80.000
13,"(82, 87]",1.471,0.411,85.000
14,"(87, 92]",0.898,0.552,90.000
