,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.143,0.079,19.000
1,"(22, 27]",1.176,0.122,25.000
2,"(27, 32]",1.099,0.154,30.000
3,"(32, 37]",1.159,0.172,35.000
4,"(37, 42]",1.139,0.202,40.000
5,"(42, 47]",0.974,0.181,45.000
6,"(47, 52]",0.910,0.175,50.000
7,"(52, 57]",0.847,0.181,55.000
8,"(57, 62]",0.895,0.219,60.000
9,"(62, 67]",0.772,0.204,65.000
10,"(67, 72]",0.685,0.187,70.000
11,"(72, 77]",0.877,0.228,75.000
12,"(77, 82]",1.071,0.296,80.000
13,"(82, 87]",1.115,0.378,85.000
14,"(87, 92]",0.677,0.429,90.000
15,"(92, 97]",1.500,2.032,95.000
