,Subject Age,R,DeltaR,Age
0,"(5, 10]",1.712,1.617,8.000
1,"(10, 15]",1.767,0.913,13.000
2,"(15, 20]",1.374,0.293,18.000
3,"(20, 25]",1.266,0.247,23.000
4,"(25, 30]",1.604,0.352,28.000
5,"(30, 35]",1.069,0.282,33.000
6,"(35, 40]",1.628,0.465,38.000
7,"(40, 45]",0.672,0.224,43.000
8,"(45, 50]",1.275,0.435,48.000
9,"(50, 55]",0.895,0.367,53.000
10,"(55, 60]",1.083,0.450,58.000
11,"(60, 65]",1.825,0.942,63.000
12,"(65, 70]",0.672,0.495,68.000
13,"(70, 75]",1.929,1.545,73.000
14,"(75, 80]",0.353,0.363,78.000
15,"(80, 85]",0.083,0.136,83.000
16,"(85, 90]",0.667,1.123,88.000
