,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.262,0.056,19.000
1,"(22, 27]",1.169,0.067,25.000
2,"(27, 32]",1.261,0.087,30.000
3,"(32, 37]",1.300,0.099,35.000
4,"(37, 42]",1.111,0.084,40.000
5,"(42, 47]",1.230,0.096,45.000
6,"(47, 52]",1.035,0.082,50.000
7,"(52, 57]",0.928,0.073,55.000
8,"(57, 62]",0.822,0.065,60.000
9,"(62, 67]",0.770,0.060,65.000
10,"(67, 72]",0.754,0.056,70.000
11,"(72, 77]",0.769,0.055,75.000
12,"(77, 82]",0.774,0.060,80.000
13,"(82, 87]",0.913,0.089,85.000
14,"(87, 92]",0.818,0.129,90.000
15,"(92, 97]",1.235,0.583,95.000
