,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.930,0.349,3.000
1,"(5, 10]",0.934,0.229,8.000
2,"(10, 15]",1.131,0.194,13.000
3,"(15, 20]",1.437,0.170,18.000
4,"(20, 25]",1.066,0.143,23.000
5,"(25, 30]",1.132,0.173,28.000
6,"(30, 35]",1.526,0.238,33.000
7,"(35, 40]",0.915,0.146,38.000
8,"(40, 45]",1.361,0.205,43.000
9,"(45, 50]",1.129,0.175,48.000
10,"(50, 55]",1.086,0.178,53.000
11,"(55, 60]",1.029,0.181,58.000
12,"(60, 65]",1.043,0.197,63.000
13,"(65, 70]",0.930,0.180,68.000
14,"(70, 75]",0.684,0.146,73.000
15,"(75, 80]",0.881,0.215,78.000
16,"(80, 85]",0.789,0.203,83.000
17,"(85, 90]",0.976,0.499,88.000
18,"(90, 95]",1.444,1.501,93.000
