,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.679,0.653,3.000
1,"(5, 10]",1.037,0.950,8.000
2,"(10, 15]",0.782,0.456,13.000
3,"(15, 20]",1.080,0.184,18.000
4,"(20, 25]",1.095,0.172,23.000
5,"(25, 30]",1.141,0.229,28.000
6,"(30, 35]",1.059,0.246,33.000
7,"(35, 40]",1.502,0.473,38.000
8,"(40, 45]",1.362,0.469,43.000
9,"(45, 50]",1.624,0.645,48.000
10,"(50, 55]",1.129,0.481,53.000
11,"(55, 60]",1.002,0.585,58.000
12,"(60, 65]",1.078,0.991,63.000
13,"(65, 70]",1.709,1.274,68.000
14,"(70, 75]",1.096,1.148,73.000
15,"(80, 85]",1.250,1.298,83.000
16,"(85, 90]",1.750,1.873,88.000
