,Subject Age,R,DeltaR,Age
0,"(5, 10]",0.500,0.936,8.000
1,"(10, 15]",0.750,0.381,13.000
2,"(15, 20]",1.212,0.242,18.000
3,"(20, 25]",1.714,0.445,23.000
4,"(25, 30]",1.526,0.541,28.000
5,"(30, 35]",1.149,0.499,33.000
6,"(35, 40]",1.010,0.485,38.000
7,"(40, 45]",3.234,2.310,43.000
8,"(45, 50]",1.961,1.355,48.000
9,"(50, 55]",0.395,0.383,53.000
10,"(55, 60]",0.500,0.936,58.000
11,"(60, 65]",0.500,0.830,63.000
12,"(65, 70]",1.200,1.847,68.000
13,"(70, 75]",0.750,1.206,73.000
14,"(80, 85]",0.250,0.346,83.000
15,"(85, 90]",2.000,3.164,88.000
