,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.783,0.827,3.000
1,"(5, 10]",1.133,0.247,8.000
2,"(10, 15]",1.127,0.146,13.000
3,"(15, 20]",1.108,0.082,18.000
4,"(20, 25]",1.098,0.090,23.000
5,"(25, 30]",1.075,0.113,28.000
6,"(30, 35]",0.989,0.128,33.000
7,"(35, 40]",0.996,0.140,38.000
8,"(40, 45]",1.169,0.165,43.000
9,"(45, 50]",1.296,0.195,48.000
10,"(50, 55]",1.306,0.194,53.000
11,"(55, 60]",1.061,0.172,58.000
12,"(60, 65]",1.045,0.169,63.000
13,"(65, 70]",1.339,0.221,68.000
14,"(70, 75]",0.922,0.146,73.000
15,"(75, 80]",1.085,0.156,78.000
16,"(80, 85]",1.037,0.149,83.000
17,"(85, 90]",0.999,0.182,88.000
18,"(90, 95]",1.442,0.493,93.000
19,"(95, 100]",3.125,3.377,98.000
