,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.468,0.242,19.000
1,"(22, 27]",1.067,0.261,25.000
2,"(27, 32]",0.828,0.272,30.000
3,"(32, 37]",1.440,0.653,35.000
4,"(37, 42]",1.134,0.421,40.000
5,"(42, 47]",1.045,0.381,45.000
6,"(47, 52]",0.686,0.259,50.000
7,"(52, 57]",0.546,0.285,55.000
8,"(57, 62]",0.510,0.175,60.000
9,"(62, 67]",0.890,0.313,65.000
10,"(67, 72]",0.835,0.264,70.000
11,"(72, 77]",0.964,0.303,75.000
12,"(77, 82]",1.205,0.399,80.000
13,"(82, 87]",1.369,0.593,85.000
14,"(87, 92]",0.500,0.462,90.000
