,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.274,0.180,19.000
1,"(22, 27]",0.927,0.155,25.000
2,"(27, 32]",0.967,0.215,30.000
3,"(32, 37]",1.192,0.307,35.000
4,"(37, 42]",1.598,0.566,40.000
5,"(42, 47]",0.802,0.383,45.000
6,"(47, 52]",1.227,0.498,50.000
7,"(52, 57]",1.053,0.528,55.000
8,"(57, 62]",1.689,1.574,60.000
9,"(62, 67]",0.792,0.513,65.000
10,"(67, 72]",1.276,0.695,70.000
11,"(72, 77]",1.079,0.724,75.000
12,"(77, 82]",1.295,0.760,80.000
13,"(82, 87]",0.500,0.830,85.000
14,"(87, 92]",0.667,0.794,90.000
