,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.668,0.835,3.000
1,"(5, 10]",1.015,0.523,8.000
2,"(10, 15]",0.813,0.327,13.000
3,"(15, 20]",1.017,0.257,18.000
4,"(20, 25]",1.608,0.708,23.000
5,"(25, 30]",1.871,1.103,28.000
6,"(30, 35]",1.311,0.794,33.000
7,"(35, 40]",1.818,1.482,38.000
8,"(40, 45]",0.750,0.944,43.000
9,"(50, 55]",1.000,2.001,53.000
10,"(55, 60]",0.667,1.123,58.000
11,"(60, 65]",2.000,3.318,63.000
12,"(65, 70]",3.500,5.693,68.000
13,"(70, 75]",0.500,0.936,73.000
14,"(80, 85]",1.000,1.733,83.000
