,Subject Age,R,DeltaR,Age
0,"(5, 10]",1.558,1.676,8.000
1,"(10, 15]",1.499,1.229,13.000
2,"(15, 20]",1.477,0.631,18.000
3,"(20, 25]",1.362,0.703,23.000
4,"(25, 30]",0.643,0.496,28.000
5,"(30, 35]",1.500,2.166,33.000
6,"(40, 45]",0.375,0.368,43.000
7,"(50, 55]",1.000,1.501,53.000
8,"(55, 60]",1.000,1.484,58.000
9,"(60, 65]",1.387,1.249,63.000
10,"(65, 70]",1.250,1.322,68.000
11,"(70, 75]",3.528,3.161,73.000
12,"(75, 80]",0.447,0.568,78.000
13,"(80, 85]",0.312,0.422,83.000
14,"(85, 90]",4.000,5.481,88.000
