,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.263,0.071,19.000
1,"(22, 27]",1.284,0.099,25.000
2,"(27, 32]",1.233,0.115,30.000
3,"(32, 37]",1.317,0.132,35.000
4,"(37, 42]",1.112,0.112,40.000
5,"(42, 47]",1.279,0.131,45.000
6,"(47, 52]",1.134,0.119,50.000
7,"(52, 57]",1.085,0.109,55.000
8,"(57, 62]",0.796,0.078,60.000
9,"(62, 67]",0.752,0.070,65.000
10,"(67, 72]",0.839,0.075,70.000
11,"(72, 77]",0.807,0.068,75.000
12,"(77, 82]",0.827,0.074,80.000
13,"(82, 87]",0.913,0.106,85.000
14,"(87, 92]",0.695,0.136,90.000
15,"(92, 97]",1.765,0.963,95.000
