,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.166,0.746,3.000
1,"(5, 10]",0.656,0.416,8.000
2,"(10, 15]",1.365,0.475,13.000
3,"(15, 20]",1.193,0.146,18.000
4,"(20, 25]",1.272,0.147,23.000
5,"(25, 30]",1.234,0.200,28.000
6,"(30, 35]",1.121,0.226,33.000
7,"(35, 40]",1.749,0.501,38.000
8,"(40, 45]",0.980,0.321,43.000
9,"(45, 50]",1.594,0.564,48.000
10,"(50, 55]",1.634,0.642,53.000
11,"(55, 60]",0.986,0.465,58.000
12,"(60, 65]",0.947,0.835,63.000
13,"(65, 70]",0.853,0.590,68.000
14,"(70, 75]",0.487,0.377,73.000
15,"(75, 80]",0.188,0.263,78.000
16,"(80, 85]",0.750,0.636,83.000
17,"(85, 90]",6.222,7.313,88.000
18,"(90, 95]",3.750,4.647,93.000
