,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.213,0.153,3.000
1,"(5, 10]",1.207,0.122,8.000
2,"(10, 15]",1.139,0.076,13.000
3,"(15, 20]",1.249,0.051,18.000
4,"(20, 25]",1.233,0.058,23.000
5,"(25, 30]",1.225,0.074,28.000
6,"(30, 35]",1.074,0.078,33.000
7,"(35, 40]",1.174,0.091,38.000
8,"(40, 45]",1.343,0.109,43.000
9,"(45, 50]",1.139,0.098,48.000
10,"(50, 55]",1.277,0.113,53.000
11,"(55, 60]",1.339,0.127,58.000
12,"(60, 65]",1.085,0.100,63.000
13,"(65, 70]",1.194,0.106,68.000
14,"(70, 75]",0.976,0.080,73.000
15,"(75, 80]",0.931,0.073,78.000
16,"(80, 85]",0.998,0.084,83.000
17,"(85, 90]",1.037,0.115,88.000
18,"(90, 95]",1.148,0.247,93.000
19,"(95, 100]",2.503,1.606,98.000
