,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.320,0.074,19.000
1,"(22, 27]",1.193,0.094,25.000
2,"(27, 32]",1.267,0.126,30.000
3,"(32, 37]",1.236,0.141,35.000
4,"(37, 42]",1.194,0.132,40.000
5,"(42, 47]",1.244,0.137,45.000
6,"(47, 52]",0.991,0.108,50.000
7,"(52, 57]",0.853,0.091,55.000
8,"(57, 62]",0.813,0.088,60.000
9,"(62, 67]",0.659,0.072,65.000
10,"(67, 72]",0.760,0.083,70.000
11,"(72, 77]",0.689,0.071,75.000
12,"(77, 82]",0.738,0.077,80.000
13,"(82, 87]",0.841,0.108,85.000
14,"(87, 92]",0.781,0.148,90.000
15,"(92, 97]",1.485,0.791,95.000
