,Subject Age,R,DeltaR,Age
0,"(15, 22]",0.977,0.265,19.000
1,"(22, 27]",0.702,0.273,25.000
2,"(27, 32]",2.542,1.464,30.000
3,"(32, 37]",0.788,0.520,35.000
4,"(37, 42]",1.121,0.809,40.000
5,"(42, 47]",0.500,0.471,45.000
6,"(47, 52]",1.196,0.594,50.000
7,"(52, 57]",0.600,0.770,55.000
8,"(57, 62]",0.442,0.275,60.000
9,"(62, 67]",0.630,0.292,65.000
10,"(67, 72]",0.825,0.395,70.000
11,"(72, 77]",0.853,0.428,75.000
12,"(77, 82]",0.368,0.262,80.000
13,"(82, 87]",0.425,0.313,85.000
14,"(87, 92]",0.346,0.318,90.000
