,Subject Age,R,DeltaR,Age
0,"(0, 5]",3.000,4.585,3.000
1,"(5, 10]",1.810,2.028,8.000
2,"(10, 15]",0.768,0.517,13.000
3,"(15, 20]",1.265,0.324,18.000
4,"(20, 25]",0.989,0.213,23.000
5,"(25, 30]",1.209,0.304,28.000
6,"(30, 35]",1.367,0.383,33.000
7,"(35, 40]",1.773,0.591,38.000
8,"(40, 45]",0.669,0.237,43.000
9,"(45, 50]",0.374,0.184,48.000
10,"(50, 55]",1.091,0.548,53.000
11,"(55, 60]",1.658,0.886,58.000
12,"(60, 65]",1.705,1.444,63.000
13,"(65, 70]",0.734,0.657,68.000
14,"(70, 75]",1.129,0.949,73.000
15,"(75, 80]",0.845,0.971,78.000
16,"(80, 85]",0.250,0.451,83.000
17,"(85, 90]",1.000,1.733,88.000
