,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.337,0.049,19.000
1,"(22, 27]",1.222,0.053,25.000
2,"(27, 32]",1.292,0.065,30.000
3,"(32, 37]",1.268,0.073,35.000
4,"(37, 42]",1.198,0.078,40.000
5,"(42, 47]",1.130,0.083,45.000
6,"(47, 52]",0.982,0.077,50.000
7,"(52, 57]",0.949,0.075,55.000
8,"(57, 62]",0.936,0.074,60.000
9,"(62, 67]",0.804,0.064,65.000
10,"(67, 72]",0.921,0.075,70.000
11,"(72, 77]",0.835,0.074,75.000
12,"(77, 82]",0.876,0.088,80.000
13,"(82, 87]",1.033,0.158,85.000
14,"(87, 92]",0.762,0.240,90.000
15,"(92, 97]",0.438,0.560,95.000
