,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.536,0.544,3.000
1,"(5, 10]",1.336,0.382,8.000
2,"(10, 15]",1.433,0.282,13.000
3,"(15, 20]",1.340,0.170,18.000
4,"(20, 25]",1.135,0.162,23.000
5,"(25, 30]",1.111,0.196,28.000
6,"(30, 35]",1.100,0.223,33.000
7,"(35, 40]",1.212,0.268,38.000
8,"(40, 45]",1.158,0.248,43.000
9,"(45, 50]",0.732,0.168,48.000
10,"(50, 55]",1.153,0.254,53.000
11,"(55, 60]",1.504,0.352,58.000
12,"(60, 65]",1.377,0.307,63.000
13,"(65, 70]",1.426,0.337,68.000
14,"(70, 75]",0.922,0.211,73.000
15,"(75, 80]",1.153,0.247,78.000
16,"(80, 85]",0.964,0.230,83.000
17,"(85, 90]",0.905,0.288,88.000
18,"(90, 95]",1.568,0.932,93.000
