,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.500,0.936,3.000
1,"(5, 10]",0.750,0.944,8.000
2,"(10, 15]",1.838,1.025,13.000
3,"(15, 20]",1.109,0.198,18.000
4,"(20, 25]",1.039,0.186,23.000
5,"(25, 30]",1.257,0.292,28.000
6,"(30, 35]",1.208,0.347,33.000
7,"(35, 40]",1.243,0.474,38.000
8,"(40, 45]",0.739,0.325,43.000
9,"(45, 50]",0.916,0.388,48.000
10,"(50, 55]",1.116,0.479,53.000
11,"(55, 60]",0.561,0.397,58.000
12,"(60, 65]",1.000,1.001,63.000
13,"(65, 70]",1.125,1.252,68.000
14,"(70, 75]",6.000,8.665,73.000
15,"(75, 80]",0.629,0.608,78.000
16,"(80, 85]",2.192,1.889,83.000
17,"(85, 90]",2.500,2.925,88.000
