,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.047,0.105,3.000
1,"(5, 10]",1.017,0.103,8.000
2,"(10, 15]",0.995,0.079,13.000
3,"(15, 20]",1.240,0.078,18.000
4,"(20, 25]",1.112,0.100,23.000
5,"(25, 30]",1.234,0.151,28.000
6,"(30, 35]",1.217,0.191,33.000
7,"(35, 40]",1.262,0.236,38.000
8,"(40, 45]",1.308,0.264,43.000
9,"(45, 50]",0.906,0.186,48.000
10,"(50, 55]",1.224,0.285,53.000
11,"(55, 60]",0.953,0.230,58.000
12,"(60, 65]",0.901,0.229,63.000
13,"(65, 70]",1.212,0.318,68.000
14,"(70, 75]",0.825,0.243,73.000
15,"(75, 80]",0.898,0.322,78.000
16,"(80, 85]",0.584,0.281,83.000
17,"(85, 90]",0.768,0.594,88.000
18,"(90, 95]",2.500,3.493,93.000
