,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.079,0.141,3.000
1,"(5, 10]",1.361,0.188,8.000
2,"(10, 15]",1.201,0.109,13.000
3,"(15, 20]",1.336,0.077,18.000
4,"(20, 25]",1.435,0.087,23.000
5,"(25, 30]",1.452,0.103,28.000
6,"(30, 35]",1.410,0.108,33.000
7,"(35, 40]",1.192,0.106,38.000
8,"(40, 45]",1.297,0.131,43.000
9,"(45, 50]",1.263,0.144,48.000
10,"(50, 55]",1.170,0.147,53.000
11,"(55, 60]",1.081,0.155,58.000
12,"(60, 65]",1.350,0.201,63.000
13,"(65, 70]",1.132,0.186,68.000
14,"(70, 75]",1.087,0.205,73.000
15,"(75, 80]",1.150,0.226,78.000
16,"(80, 85]",0.826,0.236,83.000
17,"(85, 90]",1.360,0.634,88.000
18,"(90, 95]",4.500,6.628,93.000
